variant,end_to_end_env_steps_per_second,end_to_end_individual_action_chunks_per_second,env_name,episodes_requested,episodes_returned,estimated_individual_action_chunks,log_path,mean_episode_length,mean_episode_reward,model,policy_rpc_count,policy_rpc_deadline_miss_count,policy_rpc_deadline_miss_rate,policy_rpc_deadline_ms,policy_rpc_max_ms,policy_rpc_mean_ms,policy_rpc_median_ms,policy_rpc_p95_ms,policy_rpc_p99_ms,raw_printed_success_rate,raw_video_count,raw_video_dir,returncode,rollout_wall_seconds,rollout_wall_seconds_per_episode,selected_video_count,success_count,success_rate,task_index,task_name,total_episode_steps,reference_source
p25,6.08784080621484,0.7779746935981743,libero_sim/pick_up_the_alphabet_soup_and_place_it_in_the_basket,20,20,412,/tmp/gr00t_final_eval/logs/success_rate/cka_task_00_pick_up_the_alphabet_soup_and_place_it_in_the_basket.log,161.2,1.0,cka,90,90,1.0,400.0,1050.9962260002794,478.7895406445589,473.3920455000771,487.9452937517272,565.8378320091284,1.0,21,/tmp/gr00t_final_eval/rollouts/videos/cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket,0,529.580207930001,26.47901039650005,3,20,1.0,0,alphabet_soup,3224,
p25,6.136680085933263,0.7868063949911095,libero_sim/pick_up_the_cream_cheese_and_place_it_in_the_basket,20,20,384,/tmp/gr00t_final_eval/logs/success_rate/cka_task_01_pick_up_the_cream_cheese_and_place_it_in_the_basket.log,149.75,1.0,cka,83,83,1.0,400.0,494.8281300021336,473.8685281089306,471.7734620026022,492.4847595004394,493.85409217808046,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket,0,488.0489056070001,24.40244528035,3,20,1.0,1,cream_cheese,2995,
p25,5.473118455061013,0.7018469548254711,libero_sim/pick_up_the_salad_dressing_and_place_it_in_the_basket,20,20,327,/tmp/gr00t_final_eval/logs/success_rate/cka_task_02_pick_up_the_salad_dressing_and_place_it_in_the_basket.log,127.5,1.0,cka,76,76,1.0,400.0,496.1999080005626,473.7317386051904,474.1470580011082,491.60549600128434,494.5381412499046,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/02_pick_up_the_salad_dressing_and_place_it_in_the_basket,0,465.9135410529998,23.29567705264999,3,20,1.0,2,salad_dressing,2550,
p25,5.515192792172892,0.7002273571214273,libero_sim/pick_up_the_bbq_sauce_and_place_it_in_the_basket,20,20,388,/tmp/gr00t_final_eval/logs/success_rate/cka_task_03_pick_up_the_bbq_sauce_and_place_it_in_the_basket.log,152.8,1.0,cka,98,98,1.0,400.0,493.8100619983743,474.1641626022807,473.92096600015066,491.994251500364,493.14491747780266,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/03_pick_up_the_bbq_sauce_and_place_it_in_the_basket,0,554.1057430190012,27.705287150950063,3,20,1.0,3,bbq_sauce,3056,
p25,6.616812450606854,0.8434618068905442,libero_sim/pick_up_the_ketchup_and_place_it_in_the_basket,20,20,348,/tmp/gr00t_final_eval/logs/success_rate/cka_task_04_pick_up_the_ketchup_and_place_it_in_the_basket.log,136.5,1.0,cka,71,71,1.0,400.0,502.8300390004006,476.3904573944312,477.9086179987644,495.0908855007583,500.1498824996816,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/04_pick_up_the_ketchup_and_place_it_in_the_basket,0,412.58536801199807,20.629268400599905,3,20,1.0,4,ketchup,2730,
p25,5.883909887632362,0.7540672032812649,libero_sim/pick_up_the_tomato_sauce_and_place_it_in_the_basket,20,20,345,/tmp/gr00t_final_eval/logs/success_rate/cka_task_05_pick_up_the_tomato_sauce_and_place_it_in_the_basket.log,134.6,1.0,cka,73,73,1.0,400.0,498.7768920000235,475.2026489862159,473.5465009980544,493.6194318011985,497.067470880429,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket,0,457.51890348600136,22.875945174300067,3,20,1.0,5,tomato_sauce,2692,
p25,6.304564641244275,0.7982566678441709,libero_sim/pick_up_the_butter_and_place_it_in_the_basket,20,20,480,/tmp/gr00t_final_eval/logs/success_rate/cka_task_06_pick_up_the_butter_and_place_it_in_the_basket.log,189.55,0.95,cka,102,102,1.0,400.0,522.5700759983738,473.4344767355865,473.5283495010663,491.7978765017324,502.4969308697836,0.95,20,/tmp/gr00t_final_eval/rollouts/videos/cka/06_pick_up_the_butter_and_place_it_in_the_basket,0,601.3103545960003,30.06551772980001,3,19,0.95,6,butter,3791,
p25,6.321820902470869,0.814097763275263,libero_sim/pick_up_the_milk_and_place_it_in_the_basket,20,20,324,/tmp/gr00t_final_eval/logs/success_rate/cka_task_07_pick_up_the_milk_and_place_it_in_the_basket.log,125.8,1.0,cka,65,65,1.0,400.0,495.3754900016065,472.4662178464664,470.8298250006919,490.6988425995223,493.63696456115576,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/07_pick_up_the_milk_and_place_it_in_the_basket,0,397.98659892700016,19.899329946350008,3,20,1.0,7,milk,2516,
p25,6.28845300237069,0.7976940719696333,libero_sim/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,20,20,377,/tmp/gr00t_final_eval/logs/success_rate/cka_task_08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket.log,148.6,1.0,cka,80,80,1.0,400.0,493.60847599746194,473.6405537623796,471.9403314975352,489.58355570212007,492.6714814909428,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,472.61226232899935,23.630613116449968,3,20,1.0,8,chocolate_pudding,2972,
p25,6.006653926968808,0.7693486732235306,libero_sim/pick_up_the_orange_juice_and_place_it_in_the_basket,20,20,322,/tmp/gr00t_final_eval/logs/success_rate/cka_task_09_pick_up_the_orange_juice_and_place_it_in_the_basket.log,125.7,1.0,cka,70,70,1.0,400.0,500.2762129988696,473.565008971283,472.3535940011061,491.7569904997436,494.8813755504307,1.0,20,/tmp/gr00t_final_eval/rollouts/videos/cka/09_pick_up_the_orange_juice_and_place_it_in_the_basket,0,418.5358488380007,20.926792441900037,3,20,1.0,9,orange_juice,2514,
p37,6.176949118609383,0.7873473560076135,libero_sim/pick_up_the_alphabet_soup_and_place_it_in_the_basket,20,20,433,/tmp/gr00t_p37_eval/logs/success_rate/cka_task_00_pick_up_the_alphabet_soup_and_place_it_in_the_basket.log,169.85,1.0,cka,94,94,1.0,400.0,971.66312400077,444.013612882624,438.11339500098256,460.071063749092,504.0740709598288,1.0,20,/tmp/gr00t_p37_eval/rollouts/videos/cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket,0,549.947868239,27.49739341195,3,20,1.0,0,alphabet_soup,3397,
p37,5.332307077396251,0.6793698901547902,libero_sim/pick_up_the_cream_cheese_and_place_it_in_the_basket,20,20,364,/tmp/gr00t_p37_eval/logs/success_rate/cka_task_01_pick_up_the_cream_cheese_and_place_it_in_the_basket.log,142.85,1.0,cka,93,93,1.0,400.0,480.22346400102833,447.0277615053869,447.1979439986171,465.05328939820174,468.2014228803746,1.0,20,/tmp/gr00t_p37_eval/rollouts/videos/cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket,0,535.7905984280005,26.789529921400025,3,20,1.0,1,cream_cheese,2857,
p37,5.391609078422236,0.6915133793579008,libero_sim/pick_up_the_salad_dressing_and_place_it_in_the_basket,20,20,315,/tmp/gr00t_p37_eval/logs/success_rate/cka_task_02_pick_up_the_salad_dressing_and_place_it_in_the_basket.log,122.8,1.0,cka,76,76,1.0,400.0,471.0805989998335,446.0774755659114,444.0581130002101,463.6224872501771,467.661931751536,1.0,20,/tmp/gr00t_p37_eval/rollouts/videos/cka/02_pick_up_the_salad_dressing_and_place_it_in_the_basket,0,455.5226397679981,22.776131988399904,3,20,1.0,2,salad_dressing,2456,
p37,6.254095188815463,0.7987057210124449,libero_sim/pick_up_the_bbq_sauce_and_place_it_in_the_basket,20,20,383,/tmp/gr00t_p37_eval/logs/success_rate/cka_task_03_pick_up_the_bbq_sauce_and_place_it_in_the_basket.log,149.95,1.0,cka,84,84,1.0,400.0,480.1989059997141,449.2001249882378,449.83851550023246,465.0079554985496,475.7437108512022,1.0,20,/tmp/gr00t_p37_eval/rollouts/videos/cka/03_pick_up_the_bbq_sauce_and_place_it_in_the_basket,0,479.5258002090013,23.976290010450064,3,20,1.0,3,bbq_sauce,2999,
p37,6.506856025623308,0.8342123109773472,libero_sim/pick_up_the_ketchup_and_place_it_in_the_basket,20,20,360,/tmp/gr00t_p37_eval/logs/success_rate/cka_task_04_pick_up_the_ketchup_and_place_it_in_the_basket.log,140.4,1.0,cka,74,74,1.0,400.0,479.5789469972078,449.3131286754588,450.0306764984998,464.1784149000159,472.7375468688478,1.0,20,/tmp/gr00t_p37_eval/rollouts/videos/cka/04_pick_up_the_ketchup_and_place_it_in_the_basket,0,431.54481810299694,21.577240905149846,3,20,1.0,4,ketchup,2808,
p37,4.953806578679802,0.6309269905574805,libero_sim/pick_up_the_tomato_sauce_and_place_it_in_the_basket,20,20,337,/tmp/gr00t_p37_eval/logs/success_rate/cka_task_05_pick_up_the_tomato_sauce_and_place_it_in_the_basket.log,132.3,1.0,cka,87,87,1.0,400.0,469.3811910001386,446.5733855633579,445.40907599730417,462.3658288997831,464.5151312600501,1.0,20,/tmp/gr00t_p37_eval/rollouts/videos/cka/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket,0,534.1347018649976,26.706735093249883,3,20,1.0,5,tomato_sauce,2646,
p37,6.428324980395338,0.820997397101182,libero_sim/pick_up_the_butter_and_place_it_in_the_basket,20,20,388,/tmp/gr00t_p37_eval/logs/success_rate/cka_task_06_pick_up_the_butter_and_place_it_in_the_basket.log,151.9,1.0,cka,80,80,1.0,400.0,471.0696180009109,448.26013271244847,447.6293075003923,465.3841547495176,469.2872176317178,1.0,20,/tmp/gr00t_p37_eval/rollouts/videos/cka/06_pick_up_the_butter_and_place_it_in_the_basket,0,472.595895395003,23.629794769750152,3,20,1.0,6,butter,3038,
p37,5.989124205904638,0.7600056407648547,libero_sim/pick_up_the_milk_and_place_it_in_the_basket,20,20,326,/tmp/gr00t_p37_eval/logs/success_rate/cka_task_07_pick_up_the_milk_and_place_it_in_the_basket.log,128.45,1.0,cka,71,71,1.0,400.0,474.27264699945226,446.9487186340213,448.9846120013681,464.3359449983109,468.1327972011786,1.0,20,/tmp/gr00t_p37_eval/rollouts/videos/cka/07_pick_up_the_milk_and_place_it_in_the_basket,0,428.9441847719973,21.44720923859986,3,20,1.0,7,milk,2569,
p37,6.656094849529755,0.8441785087564454,libero_sim/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,20,20,451,/tmp/gr00t_p37_eval/logs/success_rate/cka_task_08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket.log,177.8,0.95,cka,95,95,1.0,400.0,473.3769699996628,447.5629635576441,447.0711149988347,462.1765677999065,464.71143805873,0.95,20,/tmp/gr00t_p37_eval/rollouts/videos/cka/08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,534.2471945469988,26.71235972734994,3,19,0.95,8,chocolate_pudding,3556,
p37,6.255865481734557,0.801295453081111,libero_sim/pick_up_the_orange_juice_and_place_it_in_the_basket,20,20,306,/tmp/gr00t_p37_eval/logs/success_rate/cka_task_09_pick_up_the_orange_juice_and_place_it_in_the_basket.log,119.45,1.0,cka,64,64,1.0,400.0,470.5746890031151,446.260249390491,446.3390625005559,461.4783386508861,465.4806658707093,1.0,20,/tmp/gr00t_p37_eval/rollouts/videos/cka/09_pick_up_the_orange_juice_and_place_it_in_the_basket,0,381.881612860001,19.09408064300005,3,20,1.0,9,orange_juice,2389,
p50,5.921322042720212,0.7641087164832341,libero_sim/pick_up_the_alphabet_soup_and_place_it_in_the_basket,20,20,367,/tmp/gr00t_p50_eval/logs/success_rate/cka_task_00_pick_up_the_alphabet_soup_and_place_it_in_the_basket.log,142.2,1.0,cka,83,82,0.9879518072289156,400.0,1988.8342349986488,447.933703289146,428.9912579988595,457.77751830046327,736.1199955592269,1.0,20,/tmp/gr00t_p50_eval/rollouts/videos/cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket,0,480.29814617100055,24.01490730855003,3,20,1.0,0,alphabet_soup,2844,
p50,5.9771444220495855,0.7615164036803646,libero_sim/pick_up_the_cream_cheese_and_place_it_in_the_basket,20,20,351,/tmp/gr00t_p50_eval/logs/success_rate/cka_task_01_pick_up_the_cream_cheese_and_place_it_in_the_basket.log,137.75,1.0,cka,77,77,1.0,400.0,490.5779609998717,445.8400721168919,446.0604189989681,459.0316136000183,470.8155791596072,1.0,20,/tmp/gr00t_p50_eval/rollouts/videos/cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket,0,460.9224414649998,23.04612207324999,3,20,1.0,1,cream_cheese,2755,
p50,6.210087920587614,0.8034615099412546,libero_sim/pick_up_the_salad_dressing_and_place_it_in_the_basket,20,20,288,/tmp/gr00t_p50_eval/logs/success_rate/cka_task_02_pick_up_the_salad_dressing_and_place_it_in_the_basket.log,111.3,1.0,cka,59,59,1.0,400.0,463.2018100001005,450.3899345763784,453.0460579990177,461.174528200354,462.7651987601712,1.0,20,/tmp/gr00t_p50_eval/rollouts/videos/cka/02_pick_up_the_salad_dressing_and_place_it_in_the_basket,0,358.44903139300004,17.92245156965,3,20,1.0,2,salad_dressing,2226,
p50,5.393860307742732,0.6913257577529417,libero_sim/pick_up_the_bbq_sauce_and_place_it_in_the_basket,20,20,364,/tmp/gr00t_p50_eval/logs/success_rate/cka_task_03_pick_up_the_bbq_sauce_and_place_it_in_the_basket.log,142.0,1.0,cka,97,97,1.0,400.0,466.1223300008714,448.5795725053997,449.8743860021932,461.9708987993363,464.5513082409889,1.0,20,/tmp/gr00t_p50_eval/rollouts/videos/cka/03_pick_up_the_bbq_sauce_and_place_it_in_the_basket,0,526.5245738609992,26.326228693049963,3,20,1.0,3,bbq_sauce,2840,
p50,6.602122264233077,0.8445877480881812,libero_sim/pick_up_the_ketchup_and_place_it_in_the_basket,20,20,377,/tmp/gr00t_p50_eval/logs/success_rate/cka_task_04_pick_up_the_ketchup_and_place_it_in_the_basket.log,147.35,1.0,cka,81,81,1.0,400.0,480.39316900030826,444.6241326668202,442.1698359983566,460.95676999902935,480.0137457998062,1.0,20,/tmp/gr00t_p50_eval/rollouts/videos/cka/04_pick_up_the_ketchup_and_place_it_in_the_basket,0,446.3716184059994,22.31858092029997,3,20,1.0,4,ketchup,2947,
p50,5.669537690551286,0.7306614230247217,libero_sim/pick_up_the_tomato_sauce_and_place_it_in_the_basket,20,20,370,/tmp/gr00t_p50_eval/logs/success_rate/cka_task_05_pick_up_the_tomato_sauce_and_place_it_in_the_basket.log,143.55,1.0,cka,90,90,1.0,400.0,454.17239800008247,434.97727427792495,432.5957639994158,451.6286637015583,453.53695491292456,1.0,20,/tmp/gr00t_p50_eval/rollouts/videos/cka/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket,0,506.3904954339996,25.31952477169998,3,20,1.0,5,tomato_sauce,2871,
p50,6.414874729725772,0.820457801747564,libero_sim/pick_up_the_butter_and_place_it_in_the_basket,20,20,386,/tmp/gr00t_p50_eval/logs/success_rate/cka_task_06_pick_up_the_butter_and_place_it_in_the_basket.log,150.9,1.0,cka,86,86,1.0,400.0,469.0905789975659,442.82242340696666,442.1414819989877,457.1693130010317,459.6067065509488,1.0,20,/tmp/gr00t_p50_eval/rollouts/videos/cka/06_pick_up_the_butter_and_place_it_in_the_basket,0,470.4690468879999,23.523452344399992,3,20,1.0,6,butter,3018,
p50,5.924041546533414,0.7501165961719551,libero_sim/pick_up_the_milk_and_place_it_in_the_basket,20,20,439,/tmp/gr00t_p50_eval/logs/success_rate/cka_task_07_pick_up_the_milk_and_place_it_in_the_basket.log,173.35,0.95,cka,108,108,1.0,400.0,462.1635920011613,444.49006704622593,443.3783930016944,458.2341885510687,461.275446149848,0.95,20,/tmp/gr00t_p50_eval/rollouts/videos/cka/07_pick_up_the_milk_and_place_it_in_the_basket,0,585.2423506429986,29.262117532149933,3,19,0.95,7,milk,3467,
p50,6.693060228908047,0.8558339309095535,libero_sim/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,20,20,390,/tmp/gr00t_p50_eval/logs/success_rate/cka_task_08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket.log,152.5,1.0,cka,84,84,1.0,400.0,460.91301799970097,443.4564711070077,440.77191700125695,456.9712376485768,458.4249909098435,1.0,20,/tmp/gr00t_p50_eval/rollouts/videos/cka/08_pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,455.695884347002,22.7847942173501,3,20,1.0,8,chocolate_pudding,3050,
p50,5.9818689694302565,0.7589683500445734,libero_sim/pick_up_the_orange_juice_and_place_it_in_the_basket,20,20,380,/tmp/gr00t_p50_eval/logs/success_rate/cka_task_09_pick_up_the_orange_juice_and_place_it_in_the_basket.log,149.75,0.95,cka,90,90,1.0,400.0,470.7390439980372,445.7307688555172,443.4594810009002,461.2298212014138,463.652023840732,0.95,20,/tmp/gr00t_p50_eval/rollouts/videos/cka/09_pick_up_the_orange_juice_and_place_it_in_the_basket,0,500.67963964199953,25.033981982099977,3,19,0.95,9,orange_juice,2995,
p75,6.197317719133398,0.7812884139850018,libero_sim/pick_up_the_alphabet_soup_and_place_it_in_the_basket,20,20,634,/tmp/gr00t_p75_libero_object_eval/logs/success_rate/cka_task_00_pick_up_the_alphabet_soup_and_place_it_in_the_basket.log,251.45,0.85,cka,143,3,0.0209790209790209,400.0,1697.4338099989836,370.91360181121337,362.2729219987377,382.2261162997165,409.8102883192044,0.85,20,/tmp/gr00t_p75_libero_object_eval/rollouts/videos/cka/00_pick_up_the_alphabet_soup_and_place_it_in_the_basket,0,811.4800996039994,40.57400498019997,3,17,0.85,0,alphabet_soup,5029,
p75,5.937967759509865,0.7638647845971428,libero_sim/pick_up_the_cream_cheese_and_place_it_in_the_basket,20,20,318,/tmp/gr00t_p75_libero_object_eval/logs/success_rate/cka_task_01_pick_up_the_cream_cheese_and_place_it_in_the_basket.log,123.6,1.0,cka,65,1,0.0153846153846153,400.0,404.4375929988746,371.76471818439984,371.4011600004597,382.1492917995784,393.44786051966366,1.0,20,/tmp/gr00t_p75_libero_object_eval/rollouts/videos/cka/01_pick_up_the_cream_cheese_and_place_it_in_the_basket,0,416.3040454439997,20.815202272199983,3,20,1.0,1,cream_cheese,2472,
p75,5.4501973556018655,0.6991378616705902,libero_sim/pick_up_the_salad_dressing_and_place_it_in_the_basket,20,20,318,/tmp/gr00t_p75_libero_object_eval/logs/success_rate/cka_task_02_pick_up_the_salad_dressing_and_place_it_in_the_basket.log,123.95,1.0,cka,70,1,0.0142857142857142,400.0,403.7039000013465,372.0391555142019,372.6135284996417,384.18883805052246,390.9575058506017,1.0,20,/tmp/gr00t_p75_libero_object_eval/rollouts/videos/cka/02_pick_up_the_salad_dressing_and_place_it_in_the_basket,0,454.8459144240005,22.742295721200023,3,20,1.0,2,salad_dressing,2479,
p75,5.678397775525523,0.7264256613735355,libero_sim/pick_up_the_bbq_sauce_and_place_it_in_the_basket,20,20,355,/tmp/gr00t_p75_libero_object_eval/logs/success_rate/cka_task_03_pick_up_the_bbq_sauce_and_place_it_in_the_basket.log,138.75,1.0,cka,81,1,0.0123456790123456,400.0,404.50605300065945,371.50621750623503,370.3874410002754,386.0255549989233,396.021801801544,1.0,20,/tmp/gr00t_p75_libero_object_eval/rollouts/videos/cka/03_pick_up_the_bbq_sauce_and_place_it_in_the_basket,0,488.6941897519992,24.43470948759996,3,20,1.0,3,bbq_sauce,2775,
p75,5.879776890541188,0.7485547581387139,libero_sim/pick_up_the_ketchup_and_place_it_in_the_basket,20,20,372,/tmp/gr00t_p75_libero_object_eval/logs/success_rate/cka_task_04_pick_up_the_ketchup_and_place_it_in_the_basket.log,146.1,1.0,cka,81,0,0.0,400.0,395.28084300036426,372.1188212593354,372.4544100005005,384.2920869992668,388.9454597992881,1.0,20,/tmp/gr00t_p75_libero_object_eval/rollouts/videos/cka/04_pick_up_the_ketchup_and_place_it_in_the_basket,0,496.957631964,24.8478815982,3,20,1.0,4,ketchup,2922,
p75,5.497399863913239,0.6979655514696433,libero_sim/pick_up_the_tomato_sauce_and_place_it_in_the_basket,20,20,663,/tmp/gr00t_p75_libero_object_eval/logs/success_rate/cka_task_05_pick_up_the_tomato_sauce_and_place_it_in_the_basket.log,261.1,0.8,cka,162,0,0.0,400.0,392.0341089979047,371.7852706666594,372.79135349945136,384.0865241006213,387.3333540898966,0.8,20,/tmp/gr00t_p75_libero_object_eval/rollouts/videos/cka/05_pick_up_the_tomato_sauce_and_place_it_in_the_basket,0,949.9036143029988,47.49518071514994,3,16,0.8,5,tomato_sauce,5222,
p75,5.8628461840106,0.7484900294920199,libero_sim/pick_up_the_butter_and_place_it_in_the_basket,20,20,383,/tmp/gr00t_p75_libero_object_eval/logs/success_rate/cka_task_06_pick_up_the_butter_and_place_it_in_the_basket.log,150.0,1.0,cka,83,0,0.0,400.0,386.3873730006162,368.8527669398014,368.71072400026605,380.6141951015889,384.2840984179202,1.0,20,/tmp/gr00t_p75_libero_object_eval/rollouts/videos/cka/06_pick_up_the_butter_and_place_it_in_the_basket,0,511.6968628959985,25.58484314479993,3,20,1.0,6,butter,3000,
